"Details","Record ID","Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Last Modified Date"
"","74678","V0074678","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:35:06"
"","74676","V0074676","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:34:23"
"","74675","V0074675","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:33:57"
"","74674","V0074674","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:31:42"
"","74673","V0074673","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:31:16"
"","74670","V0074670","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:06:36"
"","74669","V0074669","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:06:11"
"","74667","V0074667","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:03:42"
"","74666","V0074666","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 20:03:15"
"","74664","V0074664","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 19:44:02"
"","74663","V0074663","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 19:43:33"
"","74662","V0074662","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 19:41:13"
"","74661","V0074661","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 19:40:43"
"","74659","V0074659","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 19:20:47"
"","74658","V0074658","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 19:20:23"
"","74657","V0074657","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 19:18:12"
"","74655","V0074655","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-07-2024 19:03:01"
"","74654","V0074654","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-07-2024 19:00:27"
"","74652","V0074652","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 18:53:26"
"","74651","V0074651","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 18:53:00"
"","74650","V0074650","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-07-2024 17:32:53"
"","74649","V0074649","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-07-2024 17:29:45"
"","74648","V0074648","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-07-2024 14:50:51"
"","74647","V0074647","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-07-2024 14:48:33"
"","74644","V0074644","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 14:22:56"
"","74643","V0074643","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 14:22:27"
"","74640","V0074640","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 13:08:36"
"","74639","V0074639","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 13:08:09"
"","74635","V0074635","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:23:34"
"","74634","V0074634","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:23:04"
"","74632","V0074632","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:21:16"
"","74631","V0074631","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:20:48"
"","74629","V0074629","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:18:20"
"","74628","V0074628","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:17:49"
"","74627","V0074627","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:08:21"
"","74626","V0074626","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:00:37"
"","74625","V0074625","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 12:00:09"
"","74624","V0074624","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:57:47"
"","74623","V0074623","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:57:19"
"","74621","V0074621","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:52:47"
"","74619","V0074619","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:47:47"
"","74618","V0074618","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:43:20"
"","74615","V0074615","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:36:05"
"","74614","V0074614","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:35:38"
"","74612","V0074612","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:28:53"
"","74611","V0074611","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:28:27"
"","74609","V0074609","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:26:33"
"","74608","V0074608","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:26:07"
"","74606","V0074606","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:23:21"
"","74605","V0074605","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:22:55"
"","74603","V0074603","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:20:00"
"","74602","V0074602","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:19:32"
"","74600","V0074600","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:15:48"
"","74599","V0074599","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 11:15:24"
"","74596","V0074596","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 10:56:50"
"","74595","V0074595","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 10:56:26"
"","74593","V0074593","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 10:52:49"
"","74592","V0074592","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-07-2024 10:52:22"
"","74589","V0074589","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-05-2024 16:19:58"
"","74588","V0074588","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-05-2024 16:19:31"
"","74584","V0074584","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-05-2024 14:55:59"
"","74583","V0074583","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-05-2024 14:55:35"
"","74581","V0074581","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","10-05-2024 14:51:38"
"","74580","V0074580","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-05-2024 14:51:12"
"","74579","V0074579","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-04-2024 14:17:50"
"","74577","V0074576","123 TestMalejawjqnejqe","123 TestMalejawjqnejqe","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","yasna","Demo Student","Intake","Quality_Assurance","","demo_adminsuper@vivacitytech.com","10-03-2024 23:55:56"
"","74571","V0074571","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-03-2024 11:14:25"
"","74570","V0074570","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-03-2024 11:12:04"
"","74569","V0074569","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-03-2024 11:03:58"
"","74568","V0074568","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-03-2024 10:21:56"
"","74567","V0074567","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-02-2024 21:43:15"
"","74566","V0074566","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-02-2024 20:53:39"
"","74564","V0074563","Adams Elementary","Brookdale ES","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","mmorris","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","10-02-2024 18:44:04"
"","74547","V0074547","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","10-02-2024 18:35:43"
"","74562","V0074562","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-02-2024 12:51:07"
"","74557","V0074557","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-01-2024 17:38:17"
"","74556","V0074556","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-01-2024 17:35:56"
"","74554","V0074554","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-01-2024 17:13:28"
"","74553","V0074553","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-01-2024 17:02:03"
"","74552","V0074552","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-01-2024 16:44:10"
"","74551","V0074550","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-01-2024 16:41:19"
"","74546","V0074546","Building One","Building One","In-House","VIVATEST0Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-30-2024 18:47:48"
"","74543","V0074543","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Demo Student","Intake","Intake","","demo_repairtech@vivacitytech.com","09-30-2024 18:09:45"
"","74542","V0074542","Building One","Building One","In-House","VIVATEST0Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-30-2024 18:09:20"
"","74540","V0074540","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-30-2024 17:54:17"
"","74531","V0074531","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-28-2024 19:33:22"
"","74530","V0074530","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-28-2024 19:27:16"
"","74529","V0074529","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-28-2024 14:25:22"
"","74528","V0074528","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-28-2024 14:01:21"
"","74527","V0074527","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","09-26-2024 20:53:54"
"","74525","V0074525","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-26-2024 11:23:03"
"","74524","V0074524","Building One","Building One","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-26-2024 11:22:09"
"","74518","V0074518","Adams Elementary","Brookdale ES","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Dream","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 22:18:26"
"","74511","V0074511","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Part_Queue","","demo_adminsuper@vivacitytech.com","09-23-2024 22:16:59"
"","74517","V0074516","Adams Elementary","Brookdale ES","In-House","VIVATEST70Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash Deep Bhattacharyya","SName","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 22:09:08"
"","74510","V0074510","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 18:20:55"
"","74509","V0074509","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-23-2024 17:46:05"
"","74506","V0074506","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-19-2024 18:56:12"
"","74505","V0074505","Building One","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-19-2024 18:55:23"
