"Details","Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Created Date","Last Modified Date"
"","V0084607","Building One","Building One","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 18:17:23","10-28-2024 18:17:23"
"","V0084606","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 18:14:10","10-28-2024 18:14:10"
"","V0084597","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","10-28-2024 15:54:46","10-28-2024 15:54:46"
"","V0084593","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 15:36:40","10-28-2024 15:36:40"
"","V0084592","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 15:33:27","10-28-2024 15:33:27"
"","V0084591","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 15:08:19","10-28-2024 15:08:19"
"","V0084590","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 15:04:45","10-28-2024 15:04:45"
"","V0084589","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 15:02:00","10-28-2024 15:02:00"
"","V0084588","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 14:58:59","10-28-2024 14:58:59"
"","V0084587","Building One","Building One","In-House","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 14:57:29","10-28-2024 14:57:29"
"","V0084586","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Waiting_on_Repair_Approval","Part_Received","","demo_adminsuper@vivacitytech.com","10-28-2024 14:53:20","11-05-2024 18:44:22"
"","V0084585","Building One","Building One","In-House","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 14:51:04","10-28-2024 14:51:04"
"","V0084582","Building One","Building One","In-House","VIVATEST70Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminsuper@vivacitytech.com","10-28-2024 14:32:44","10-28-2024 19:21:50"
"","V0084554","Building One","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","10-28-2024 14:31:11","10-28-2024 14:31:11"
"","V0084373","Bayshore Middle School","Bayshore Middle School","In-House","SerialTest1238787","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","test1","test stu1","","Intake","Intake","","Maleja Duque","10-18-2024 21:01:30","10-18-2024 21:01:30"
"","V0082774","Alma's Elementary School","123 TestMalejawjqnejqe","In-House","8675309223344","HP Chromebook 11 G8 EE - Intel/4GB/32GB - Non-Touch","8675309223344","Luke Rose","","Waiting_on_Repair_Approval","Intake","","Corey Molloy","10-11-2024 04:49:26","10-15-2024 00:35:37"
"","V0081935","123 TestMalejawjqnejqe","123 TestMalejawjqnejqe","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","TesterBA","test (0E90SN5Nhm)","Intake","Intake","","","10-08-2024 23:01:34","10-08-2024 23:01:34"
"","V0078395","GVL","Building Two","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Vera Johnson","Vera Johnson","Waiting_on_Repair_Approval","Intake","","Conan Malady","09-23-2024 22:05:41","10-05-2024 08:24:35"
"","V0077219","Alma's Elementary School","Building One","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Joe Palony","Valentina Davis","Intake","Part_Queue","","Conan Malady","09-18-2024 19:03:07","10-08-2024 22:43:54"
"","V0076440","Building Three","Building Three","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","Bria Faithful","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","09-14-2024 00:14:28","09-14-2024 00:14:28"
"","V0076062","Building Three","Building Two","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","Violet Smith","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-12-2024 21:18:02","09-12-2024 21:18:02"
"","V0075443","Alma's Elementary School","Mauldin High School","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","09-10-2024 02:37:24","09-10-2024 02:37:24"
"","V0074402","Building Two","BuildingTest","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","fx","","Waiting_on_Repair_Approval","Intake","","Chase Roberts","09-04-2024 23:01:33","09-04-2024 23:01:33"
"","V0074399","Building Two","BuildingTest","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Violet Smith","Violet Smith","Waiting_on_Repair_Approval","Intake","","Chase Roberts","09-04-2024 22:58:13","09-04-2024 22:59:38"
"","V0074397","Building Two","BuildingTest","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Violet Smith","Violet Smith","Waiting_on_Repair_Approval","Intake","","Chase Roberts","09-04-2024 22:56:58","09-04-2024 22:58:27"
"","V0073250","Building One","Building Two","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","Sohan Saini","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-28-2024 22:56:07","08-28-2024 22:56:07"
"","V0071692","GVL","GVL","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-17-2024 04:08:21","08-17-2024 04:09:50"
"","V0071691","GVL","GVL","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-17-2024 03:21:30","08-17-2024 03:22:28"
"","V0071690","BuildingTest","Building Three","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","Vivienne Garcia","Waiting_on_Repair_Approval","Intake","","Maleja Duque","08-17-2024 01:49:20","08-17-2024 01:50:21"
"","V0071643","GVL","GVL","In-House","VIVATEST74Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-16-2024 19:29:51","08-16-2024 19:30:50"
"","V0071641","GVL","GVL","In-House","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Conan Malady","","InHouse","Intake","","Conan Malady","08-16-2024 19:28:00","08-16-2024 22:39:13"
"","V0071640","GVL","GVL","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-16-2024 19:24:49","08-16-2024 19:25:47"
"","V0071633","CCDream Test1","CSMTEST81424","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Vincent Williams","Victoria Miller","Intake","Intake","","Maleja Duque","08-16-2024 03:00:30","08-16-2024 03:00:30"
"","V0071139","Building Three","BuildingTest","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","test","Vivienne Garcia","Waiting_on_Repair_Approval","Intake","","Maleja Duque","08-09-2024 20:39:52","08-16-2024 02:07:12"
"","V0071138","Building One","Building Two","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","test","Vivienne Garcia","Intake","Intake","","Maleja Duque","08-09-2024 20:39:17","08-09-2024 20:39:17"
"","V0071137","GVL","GVL2","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Vincent Williams","Vivienne Garcia","Intake","Intake","","Maleja Duque","08-09-2024 20:38:41","08-09-2024 20:38:41"
"","V0071113","GVL","GVL2","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","Valentina Davis","Intake","Intake","","Maleja Duque","08-09-2024 20:06:10","08-09-2024 20:06:10"
"","V0071111","GVL","GVL2","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","Verity Jones","Intake","Intake","","Maleja Duque","08-09-2024 20:05:39","08-09-2024 20:05:39"
"","V0071094","Building Two","BuildingTest","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Violet Smith","Verity Jones","Waiting_on_Repair_Approval","Intake","","demo_adminvivacity@vivacitytech.com","08-09-2024 03:04:31","08-09-2024 03:05:22"
"","V0070890","Brookdale ES","Brookdale ES","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","Vivienne Garcia","Waiting_on_Repair_Approval","Intake","","fx","08-07-2024 23:24:41","08-07-2024 23:25:28"
"","V0070799","BuildingTest","","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Vincent Williams","","Waiting_on_Repair_Approval","Part_Queue","","demo_adminsuper@vivacitytech.com","08-03-2024 21:25:00","11-05-2024 18:42:38"
"","V0070797","BuildingTest","Building Two","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","08-03-2024 20:37:13","08-03-2024 20:37:59"
"","V0070718","GVL","","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","07-31-2024 23:55:08","08-01-2024 01:32:34"
"","V0070675","GVL","","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","07-31-2024 19:43:40","08-09-2024 19:47:07"
"","V0070674","Greenville Warehouse","","In-House","VIVATEST9Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Joe Palony","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","07-31-2024 03:08:40","07-31-2024 03:08:40"
"","V0070577","Alma's Elementary School","","In-House","VIVATEST67Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","Mark Baker","07-26-2024 22:16:47","07-26-2024 22:18:09"
"","V0070374","Greenville Warehouse","","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","demo_adminvivacity@vivacitytech.com","07-23-2024 05:32:15","07-23-2024 05:33:24"
"","V0070186","Adams Elementary","","In-House","VIVATEST61Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","Conan Malady","07-17-2024 20:13:53","07-17-2024 20:14:37"
"","V0070102","GVL","","In-House","VIVATEST61Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","07-16-2024 01:53:00","07-16-2024 01:53:00"
"","V0069250","GVL","","In-House","VIVATEST79Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","06-28-2024 21:55:21","07-15-2024 20:08:44"
"","V0069242","GVL","","In-House","VIVATEST53Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash Deep Bhattacharyya","","InHouse","Intake","","Maleja Duque","06-28-2024 20:52:09","06-28-2024 21:18:29"
"","V0069239","Dream Building","","In-House","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Shyama Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-28-2024 20:40:03","06-28-2024 20:40:03"
"","V0068688","Dream Building","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Ty Howard","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","06-23-2024 04:24:09","06-23-2024 04:24:09"
"","V0068687","Dream Building","","In-House","VIVATEST12Test","VT Chromebook","TestTag","Verity Jones","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-23-2024 04:22:53","06-23-2024 04:22:53"
"","V0068686","Carlson Elementary","","In-House","P206XP14Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","673TY","Ty Howard","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-23-2024 01:20:41","06-23-2024 01:20:41"
"","V0068685","GVL","","In-House","VIVATEST82Test","VT Chromebook","","Shyama Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-23-2024 01:13:56","06-23-2024 01:13:56"
"","V0068684","GVL","","In-House","VIVATEST82Test","VT Chromebook","","Shyama Dutta","","Intake","Intake","","Maleja Duque","06-23-2024 01:11:24","06-23-2024 01:11:24"
"","V0068683","GVL","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Shyama Dutta","","Intake","Intake","","Maleja Duque","06-23-2024 01:01:53","06-23-2024 01:01:53"
"","V0068674","Greenville Warehouse","","In-House","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Aaron Chinander","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","06-22-2024 21:23:55","06-22-2024 21:23:55"
"","V0068673","Greenville Warehouse","","In-House","P206XP41Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","673TY","Corey Tester A","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","06-22-2024 21:22:59","06-22-2024 21:22:59"
"","V0068669","Greenville Warehouse","","In-House","1CD1000002Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","673TY","Corey Tester A","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","06-22-2024 21:17:33","06-22-2024 21:17:33"
"","V0068666","Greenville Warehouse","","In-House","P206XP14Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","673TY","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","demo_adminvivacity@vivacitytech.com","06-22-2024 21:14:16","06-22-2024 21:14:16"
"","V0068653","Carlson Elementary","","In-House","P206XP41Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","673TY","test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-22-2024 19:53:31","06-22-2024 19:53:31"
"","V0068652","Carlson Elementary","","In-House","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Aaron Chinander","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-22-2024 19:43:35","06-22-2024 19:43:35"
"","V0068651","Carlson Elementary","","In-House","P206XP41Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","673TY","Shyama Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-22-2024 19:42:40","06-22-2024 19:42:40"
"","V0068648","Carlson Elementary","","In-House","1CD1000002Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","673TY","Akash Deep Bhattacharyya","","Intake","Intake","","demo_adminschooldistrict@vivacitytech.com","06-22-2024 19:12:09","06-22-2024 19:12:09"
"","V0068577","GVL","","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Dream","","InHouse","Intake","","Dream","06-21-2024 22:35:24","06-24-2024 18:59:49"
"","V0067345","Greenville Warehouse","","In-House","VIVATEST87Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Repair","","demo_adminsuper@vivacitytech.com","06-11-2024 21:42:20","07-26-2024 22:22:16"
"","V0067339","Greenville Warehouse","","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-11-2024 21:38:47","06-11-2024 21:38:47"
"","V0067292","Humphrey High","","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Vincent Williams","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-11-2024 21:13:08","06-11-2024 21:13:08"
"","V0067289","Humphrey High","","In-House","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Vincent Williams","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-11-2024 21:12:30","06-11-2024 21:12:30"
"","V0067263","Proterworth","","In-House","VIVATEST34Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Intake","Intake","","Conan Malady","06-11-2024 21:00:52","06-11-2024 21:00:52"
"","V0066929","GVL","","In-House","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyama Dutta","","Waiting_on_Repair_Approval","Intake","","Conan Malady","06-08-2024 03:03:04","06-08-2024 03:03:04"
"","V0066721","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Shyama Dutta","","InHouse","Intake","","Conan Malady","06-07-2024 22:32:11","06-07-2024 23:48:38"
"","V0066720","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Shyama Dutta","","InHouse","Intake","","Conan Malady","06-07-2024 22:30:17","06-07-2024 23:48:36"
"","V0066712","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Luke Rose","","InHouse","Intake","","Conan Malady","06-07-2024 21:57:44","06-07-2024 23:48:35"
"","V0066637","Remote Cloud Campus","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","Conan Malady","06-06-2024 23:59:06","06-06-2024 23:59:06"
"","V0065970","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Part_Queue","Intake","","Conan Malady","06-03-2024 21:53:43","06-03-2024 21:53:43"
"","V0065835","GVL","","In-House","VIVATEST59Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Intake","","","05-31-2024 20:57:43","05-31-2024 20:57:43"
"","V0065822","GVL","","In-House","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","Conan Malady","05-31-2024 20:02:20","05-31-2024 20:02:20"
"","V0065685","","Little Free Library","In-House","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","","","Pending_Repair_Box","Intake","Non_Warranty","demo_repairtech@vivacitytech.com","05-31-2024 00:29:36","05-31-2024 00:29:36"
"","V0065678","GVL","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","Conan Malady","05-31-2024 00:04:31","05-31-2024 00:06:39"
"","V0065446","GVL","","In-House","VIVATEST79Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","Conan Malady","05-30-2024 02:49:28","05-30-2024 02:49:28"
"","V0065435","","","In-House","VIVATEST28Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","05-30-2024 00:57:42","05-30-2024 01:48:37"
"","V0065411","","","In-House","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","AssetTestEdit","Aaron Chinander","","Complete","Intake","","Conan Malady","05-29-2024 23:41:54","05-29-2024 23:44:52"
"","V0065340","123 TestMalejawjqnejqe","","In-House","VIVATEST0Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","Sohan Saini","05-29-2024 19:44:07","05-29-2024 19:44:07"
"","V0065300","GVL","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Akash","","Intake","Intake","","demo_adminsuper@vivacitytech.com","05-29-2024 18:20:51","05-29-2024 18:20:51"
"","V0065299","GVL","","In-House","VIVATEST53Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Intake","Intake","","Jason Emricson","05-29-2024 18:19:36","05-29-2024 18:19:36"
