"Details","Record ID","Ticket Number","Building","Repair Type","Serial Number","Repair Device","Asset Tag","Internal Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Last Modified Date"
"","74489","V0074489","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-19-2024 12:08:57"
"","74487","V0074487","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-19-2024 11:50:17"
"","74486","V0074486","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-19-2024 11:49:41"
"","74483","V0074483","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 21:33:19"
"","74482","V0074482","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 21:32:56"
"","74480","V0074480","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 21:27:19"
"","74479","V0074479","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 21:26:55"
"","74475","V0074475","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 21:19:31"
"","74474","V0074474","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 21:19:07"
"","74473","V0074473","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-18-2024 21:13:32"
"","74471","V0074471","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:58:18"
"","74469","V0074469","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:52:17"
"","74468","V0074468","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-18-2024 20:47:51"
"","74467","V0074467","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-18-2024 20:44:13"
"","74466","V0074466","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:38:20"
"","74465","V0074465","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:37:24"
"","74463","V0074463","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:34:56"
"","74462","V0074462","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:31:13"
"","74459","V0074459","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:13:42"
"","74458","V0074458","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 20:13:10"
"","74455","V0074455","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 16:04:33"
"","74454","V0074454","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 16:04:05"
"","74451","V0074451","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 15:58:22"
"","74450","V0074450","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-18-2024 15:57:55"
"","74448","V0074448","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-18-2024 15:26:52"
"","74447","V0074447","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-18-2024 15:26:09"
"","74445","V0074445","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-18-2024 14:42:24"
"","74444","V0074444","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-18-2024 14:41:44"
"","74443","V0074443","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-16-2024 19:59:30"
"","74442","V0074442","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-16-2024 19:58:50"
"","74441","V0074441","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-16-2024 19:32:26"
"","74440","V0074440","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-16-2024 19:29:53"
"","74437","V0074437","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 19:24:28"
"","74436","V0074436","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 19:24:06"
"","74433","V0074433","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 19:16:22"
"","74432","V0074432","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 19:15:59"
"","74429","V0074429","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 18:53:48"
"","74428","V0074428","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 18:53:24"
"","74425","V0074425","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 17:24:57"
"","74424","V0074424","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 17:24:34"
"","74422","V0074422","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 17:17:31"
"","74421","V0074421","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 17:17:08"
"","74420","V0074420","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 17:12:05"
"","74419","V0074419","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-16-2024 17:11:16"
"","74418","V0074418","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-16-2024 16:59:05"
"","74417","V0074417","Brookdale ES","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 16:53:34"
"","74416","V0074416","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-16-2024 13:29:19"
"","74415","V0074415","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 13:23:18"
"","74414","V0074414","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-16-2024 13:18:32"
"","74406","V0074406","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-13-2024 21:58:41"
"","74405","V0074405","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-13-2024 21:58:15"
"","74404","V0074404","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_repairtech@vivacitytech.com","09-13-2024 21:55:39"
"","74403","V0074403","Brookdale ES","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","test","Ryker Swensen","Intake","Intake","","demo_repairtech@vivacitytech.com","09-13-2024 21:52:47"
"","74402","V0074402","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-13-2024 21:52:06"
"","74401","V0074401","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-13-2024 21:44:30"
"","74391","V0074391","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-12-2024 12:11:44"
"","74390","V0074390","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-12-2024 12:08:08"
"","74387","V0074387","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-12-2024 10:49:44"
"","74386","V0074386","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-11-2024 21:54:46"
"","74383","V0074383","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-11-2024 20:05:48"
"","74382","V0074382","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-11-2024 17:20:59"
"","74381","V0074381","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-11-2024 17:18:49"
"","74380","V0074380","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-11-2024 16:35:02"
"","74379","V0074379","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-10-2024 11:40:27"
"","74378","V0074378","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-05-2024 16:58:17"
"","74376","V0074376","Building One","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-05-2024 16:20:19"
"","74375","V0074375","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-05-2024 16:14:37"
"","74374","V0074374","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-05-2024 15:56:35"
"","74373","V0074373","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-05-2024 15:44:01"
"","74369","V0074369","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-05-2024 11:28:09"
"","74367","V0074335","Building One","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminsuper@vivacitytech.com","09-05-2024 10:42:27"
"","56841","V0056841","","In-House","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Test","","Waiting_on_Repair_Approval","Part_Received","","Maleja Duque","08-31-2024 00:08:59"
"","73250","V0073250","Building Two","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sohan Saini","Sohan Saini","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-28-2024 22:56:07"
"","72175","V0072175","GVL2","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","test","","Intake","Complete","","demo_adminsuper@vivacitytech.com","08-21-2024 23:59:01"
"","6692","VAL202310021405352","","In-House","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","demo admin sd","","Quality_Assurance","Complete","","Dream","08-21-2024 23:56:53"
"","70891","V0070891","Brookdale ES","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Ryker Swensen","Waiting_on_Repair_Approval","Complete","","fx","08-21-2024 23:56:00"
"","71692","V0071692","GVL","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-17-2024 04:09:50"
"","71691","V0071691","GVL","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-17-2024 03:22:28"
"","71690","V0071690","Building Three","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Ryker Swensen","Waiting_on_Repair_Approval","Intake","","Maleja Duque","08-17-2024 01:50:21"
"","71641","V0071641","GVL","In-House","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","InHouse","Intake","","Conan Malady","08-16-2024 22:39:13"
"","6718","VAL2023100312194418","","In-House","VIVATEST106Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","\|_3U}*s6]","demo admin sd","","Quality_Assurance","Complete","","Dream","08-16-2024 22:07:30"
"","71643","V0071643","GVL","In-House","VIVATEST74Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-16-2024 19:30:50"
"","71640","V0071640","GVL","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Conan Malady","","Waiting_on_Repair_Approval","Intake","","Conan Malady","08-16-2024 19:25:47"
"","51807","V0051807","","In-House","VIVATEST46Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Akash","","Quality_Assurance","Complete","","Conan Malady","08-16-2024 05:13:21"
"","71634","V0071633","CSMTEST81424","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Johnny Smith","Intake","Intake","","Maleja Duque","08-16-2024 03:00:30"
"","71139","V0071139","BuildingTest","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","test","Ryker Swensen","Waiting_on_Repair_Approval","Intake","","Maleja Duque","08-16-2024 02:07:12"
"","71331","V0071331","","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Ryker Swensen","Waiting_on_Repair_Approval","Complete","","Maleja Duque","08-15-2024 00:09:56"
"","71138","V0071138","Building Two","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","test","Ryker Swensen","Intake","Intake","","Maleja Duque","08-09-2024 20:39:17"
"","71137","V0071137","GVL2","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Ryker Swensen","Intake","Intake","","Maleja Duque","08-09-2024 20:38:41"
"","71113","V0071113","GVL2","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","Johnny Smith","Intake","Intake","","Maleja Duque","08-09-2024 20:06:10"
"","71111","V0071111","GVL2","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","Ryker Swensen","Intake","Intake","","Maleja Duque","08-09-2024 20:05:39"
"","70676","V0070675","","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","08-09-2024 19:47:07"
"","71094","V0071094","BuildingTest","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Ryker Swensen","Waiting_on_Repair_Approval","Intake","","demo_adminvivacity@vivacitytech.com","08-09-2024 03:05:22"
"","70890","V0070890","Brookdale ES","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","Ryker Swensen","Waiting_on_Repair_Approval","Intake","","fx","08-07-2024 23:25:28"
"","70799","V0070799","","In-House","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","08-03-2024 21:26:35"
"","70797","V0070797","Building Two","In-House","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Aaron Chinander","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","08-03-2024 20:37:59"
"","70718","V0070718","","In-House","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","08-01-2024 01:32:34"
"","70674","V0070674","","In-House","VIVATEST9Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Joe Paloney","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","07-31-2024 03:08:40"
"","67375","V0067375","","In-House","VIVATEST67Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Testing Edit","","Waiting_on_Repair_Approval","Complete","","Conan Malady","07-26-2024 22:22:46"
