record_id,ticket_number,repair_type,serial_number,repair_device,asset_tag,repair_status,student_technician,created_by,last_modified_date
13182,VAL2023100608490067,Student,VIVATEST117Test,HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch,YNZ0iS{)Ds,Complete,,Dream,2023-10-06T08:49:00.000Z
13181,VAL2023100608470053,Student,VIVATEST114Test,HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch,33\C8}ctz@,Complete,,Dream,2023-10-06T08:47:00.000Z
6627,VAL202309262209123,Student,Test123Test,HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch,t233,Closed,Sohan Saini,Dream,2024-03-11T16:30:17.217Z
1615,VAL2023092511191955,Student,VIVATEST87Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Complete,Conan Malady,Conan Malady,2023-09-25T16:19:19.000Z
1477,VAL2023091208215922,Student,VIVATESTTest,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Complete,add name clowe,Dream,2023-09-12T02:51:46.000Z
1466,VAL2023091117274641,Student,VIVATEST67Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Complete,add name clowe,Dream,2023-09-11T11:57:47.000Z
1457,VAL2023090818414999,Student,VIVATEST86Test,VT Chromebook,Asset,In Transit,Demo Test,Dream,2023-09-27T00:00:00.000Z
1456,VAL2023090818371939,Student,AAAAATest,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,673TY,Complete,Demo Test,Dream,2023-09-08T22:37:19.000Z
1439,VAL2023083109153049,Student,VIVATEST28Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Repair,Demo Test,Dream,2023-09-05T00:00:00.000Z
1437,VAL2023083109105692,Student,1234567Test,Asus Chromebook 11 C201PA-DS01 - Rockchip/2GB/16GB - Non-Touch,assasd,Complete,Nicky,Dream,2023-08-31T09:10:56.000Z
1436,VAL2023083109092289,Student,VIVATEST5Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Complete,add name clowe,Dream,2023-08-31T09:09:22.000Z
1428,VAL2023083009512410,Student,VIVATEST72Test,Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch,,Complete,add name clowe,Dream,2023-08-30T14:51:24.000Z
1426,VAL2023083009363583,Student,VIVATEST27Test,VT Chromebook,1,Complete,Megan,Dream,2023-08-30T14:36:35.000Z
1424,VAL2023083009081316,Student,VIVATEST12Test,VT Chromebook,,Complete,Demo Test,Dream,2023-08-30T09:08:13.000Z
