"Ticket Number","Building","Return Site","Repair Type","Serial Number","Repair Device","Asset Tag","Student Technician Name","Student Name","Repair Status","In House Status","Warranty Status","Created By","Created Date","Last Modified Date"
"V0073253","Alma's Elementary School","Building Two","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","John Doe","Sohan Saini","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-28-2024 23:09:26","08-28-2024 23:09:26"
"V0073130","GVL","GVL","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Matt Wise","","Intake","Intake","","Bria Faithful","08-27-2024 23:53:22","08-27-2024 23:53:22"
"V0071332","Building One","GVL","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Hansel Poque","Vivienne Garcia","Intake","Intake","","Maleja Duque","08-13-2024 23:42:03","08-13-2024 23:42:03"
"V0071229","GVL","GVL2","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","John Doe","","Intake","Intake","","demo_repairtech@vivacitytech.com","08-13-2024 00:28:44","08-13-2024 00:28:44"
"V0071193","Test Maleja","GVL","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Jerry Pogue","Verity Jones","Intake","Intake","","Maleja Duque","08-12-2024 19:09:36","08-12-2024 19:09:36"
"V0070874","GVL","GVL","Student","VIVATEST67Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Johnny Admin","Verity Jones","Intake","Intake","","Maleja Duque","08-07-2024 02:56:43","08-07-2024 02:56:43"
"V0070863","GVL","Little Free Library","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Hansel Poque","Verity Jones","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-07-2024 01:05:30","08-07-2024 01:05:30"
"V0070862","Test Maleja","GVL2","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Johnny Admin","Verity Jones","Intake","Intake","","Maleja Duque","08-07-2024 01:05:06","08-07-2024 01:05:06"
"V0070861","Test Maleja","Building One","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Hansel Poque","Violet Smith","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-07-2024 00:56:52","08-07-2024 00:56:52"
"V0070860","Test Maleja","Little Free Library","Student","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Jerry Pogue","Verity Jones","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-07-2024 00:55:48","11-06-2024 21:19:52"
"V0070831","GVL2","VT Greenville","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Robert Milliken","","Intake","Part_Queue","","demo_adminsuper@vivacitytech.com","08-06-2024 03:35:07","11-07-2024 00:16:11"
"V0070773","Test Maleja","","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Hansel Poque","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-02-2024 21:04:27","08-02-2024 21:04:27"
"V0070748","Greenville Warehouse","","Student","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Johnny Admin","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-01-2024 23:39:04","08-01-2024 23:39:04"
"V0070747","Greenville Warehouse","","Student","VIVATEST46Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Abigail Thurber","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-01-2024 23:30:57","08-01-2024 23:30:57"
"V0070746","Greenville Warehouse","","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","08-01-2024 23:30:02","08-01-2024 23:30:02"
"V0070727","Test Maleja","","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","","08-01-2024 01:11:13","08-01-2024 01:11:13"
"V0070633","Greenville Warehouse","","Student","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shyma Dutta","","Intake","Intake","","demo_adminvivacity@vivacitytech.com","07-30-2024 03:30:22","07-30-2024 03:30:22"
"V0070581","Greenville Warehouse","","Student","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Sandy Johnson","","Intake","Intake","","demo_repairfacilitator@vivacitytech.com","07-27-2024 03:23:26","07-27-2024 03:23:26"
"V0069260","GVL","","Student","VIVATEST138Test","VT Chromebook","y9E0|4(""4]","Johnny Appleseed","","Intake","Intake","","Maleja Duque","06-29-2024 02:54:40","06-29-2024 02:54:40"
"V0068650","Carlson Elementary","","Student","1CD1000002Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","673TY","Vivienne Garcia","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-22-2024 19:39:58","06-22-2024 19:39:58"
"V0068649","Carlson Elementary","","Student","P206XP14Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","673TY","","","Intake","Intake","","demo_adminschooldistrict@vivacitytech.com","06-22-2024 19:13:18","06-22-2024 19:13:18"
"V0068202","GVL","","Student","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","AssetTestEdit","Bria Faithful","","Waiting_on_Repair_Approval","Intake","","Bria Faithful","06-19-2024 01:57:30","06-19-2024 01:57:30"
"V0067715","Little Free Library","","Student","1100901Test","VT Chromebook","12333","Victoria Miller","","Intake","Intake","","demo_adminsuper@vivacitytech.com","06-14-2024 03:26:27","06-14-2024 03:26:27"
"V0067367","Little Free Library","","Student","VIVATEST87Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Dream","","Intake","Intake","","","06-11-2024 22:01:38","06-11-2024 22:01:38"
"V0065861","Sejong Academy II","","Student","VIVATEST74Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Demo Test","","Waiting_on_Repair_Approval","Intake","","demo_adminsuper@vivacitytech.com","06-01-2024 00:02:01","06-06-2024 04:31:20"
"V0065685","","Little Free Library","Student","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","","","Pending_Repair_Box","Intake","","demo_repairtech@vivacitytech.com","05-31-2024 00:29:36","11-07-2024 20:06:37"
"V0065290","GVL","","Student","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Corey Molloy","","Waiting_on_Repair_Approval","Intake","","Maleja Duque","05-29-2024 03:48:25","05-29-2024 03:48:25"
"V0056229","GVL","","Student","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","madhuriravilla","","Waiting_on_Repair_Approval","Part_Queue","","Maleja Duque","04-12-2024 01:25:26","04-12-2024 01:25:26"
"V0051248","Humphrey High","","Student","VIVATEST119Test","VT Chromebook","""0HOpc*q<x","","","Intake","Intake","","demo_repairtech@vivacitytech.com","03-13-2024 23:55:51","03-13-2024 23:55:51"
"V0051233","JFK Junior High","","Student","VIVATEST44Test","VT Chromebook","","","","Intake","Intake","","","03-13-2024 20:41:40","03-13-2024 20:41:40"
"V0039021","GVL","","Student","VIVATEST2Test","VT Chromebook","VivaTEST2Test","","","Intake","Intake","","Dream","12-13-2023 21:47:08","12-14-2023 00:58:54"
"V0037525","Adams Elementary","","Student","VIVATEST2Test","VT Chromebook","VivaTEST2Test","","","Intake","Intake","","Abby Erickson","12-04-2023 22:34:27","12-04-2023 22:34:27"
"VAL2023090818414999","","","Student","VIVATEST86Test","VT Chromebook","Asset","Demo Test","","In_Transit","Part_Queue","","Dream","09-09-2023 04:11:48","09-27-2023 05:30:00"
"VAL2023083109153049","","","Student","VIVATEST28Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Demo Test","","Repair","Repair","","Dream","08-31-2023 14:45:31","09-05-2023 05:30:00"
