"Ticket Number","Building","Repair Type","Serial Number","Repair Device","Asset Tag","Repair Status","Student Name","Created By"
"V0084601","Aspen Grove Middle School","Vivacity","P206P17Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084600","Aspen Grove Middle School","Vivacity","P206P17Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084596","Aspen Grove Middle School","Vivacity","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084595","Aspen Grove Middle School","Vivacity","Test123Test","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084594","Aspen Grove Middle School","Vivacity","P206P17Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084584","Aspen Grove Middle School","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084583","Aspen Grove Middle School","Vivacity","VIVATEST74Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Kate Wilson","demo_adminsuper@vivacitytech.com"
"V0084375","GVL","Vivacity","SerialTest12366","Lenovo Legion T730-28ICO Gaming Desktop - Intel/32GB/3TB","34","Box_Created","","Maleja Duque"
"V0083810","123 TestMalejawjqnejqe","Vivacity","423312","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","3121212","Estimate_Approved","","Dillon Burgett"
"V0083304","Humphrey High","Vivacity","121212","HP Chromebook 14-ca023nr - Intel/4GB/32GB - Non-Touch","12121","Box_Created","Violet Smith","Conan Malady"
"V0082798","123 TestMalejawjqnejqe","Vivacity","SerialTest1237878","HP 11A G8 EE Chromebook - AMD A6-9220C/8GB/32GB - Touch","34","Box_Created","","demo_adminsuper@vivacitytech.com"
"V0082775","Bayshore Middle School","Vivacity","coreymanualadd3","HP EliteBook x360 1030 G3 Notebook - Intel/16GB/256GB - 13in/Touch/2in1","TestTag","Pending_Repair_Box","Johnny Appleseed","demo_adminsuper@vivacitytech.com"
"V0082773","Alma's Elementary School","Vivacity","coreymanualadd2","HP Chromebook 11 G8 EE - Intel/8GB/64GB - 11in/Non-Touch","TestTag","Pending_Repair_Box","","Corey Molloy"
"V0081922","123 TestMalejawjqnejqe","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","",""
"V0080284","Building Three","Vivacity","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Shipping_to_Customer","Verity Jones","demo_adminsuper@vivacitytech.com"
"V0080196","Greenville Senior High School","Vivacity","VIVATEST70Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Complete","","demo_adminsuper@vivacitytech.com"
"V0080035","Building One","Vivacity","VIVATEST9Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Complete","Victoria Miller","demo_adminsuper@vivacitytech.com"
"V0078917","Adams Elementary","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","CSM_STUDENT_TEST","Conan Malady"
"V0078841","Greenville Senior High School","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","",""
"V0078369","Building Three","Vivacity","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Victoria Miller","Conan Malady"
"V0076348","Johnson Middle School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Bria Faithful","Conan Malady"
"V0075292","Building One","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Violet Smith","fx"
"V0074459","Building Three","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","","Maleja Duque"
"V0074380","BuildingTest","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","","demo_repairtech@vivacitytech.com"
"V0074224","CCDream Test1","Vivacity","VIVATEST61Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Admin Backup","Edit Test"
"V0074213","Alma's Elementary School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0074212","Alma's Elementary School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0074211","Alma's Elementary School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0074210","Alma's Elementary School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0074209","Alma's Elementary School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0074208","Alma's Elementary School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0073252","Alma's Elementary School","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0073251","Alma's Elementary School","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Sohan Saini","demo_adminvivacity@vivacitytech.com"
"V0073169","Building One","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","","Bo Patterson"
"V0072743","Building Two","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Vivienne Garcia","Maleja Duque"
"V0072738","Building Two","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Verity Jones","Maleja Duque"
"V0072577","Carlson Elementary","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Super Duper Test","Dream"
"V0071330","Building One","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Verity Jones","Maleja Duque"
"V0071310","Building Two","Vivacity","VIVATEST87Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","","demo_adminsuper@vivacitytech.com"
"V0071235","Brookdale ES","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Vivienne Garcia","Maleja Duque"
"V0071151","GVL","Vivacity","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Nick Ellison"
"V0071062","Adams Elementary","Vivacity","VIVATEST9Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","demo_adminsuper@vivacitytech.com"
"V0070932","Building Two","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Verity Jones","Maleja Duque"
"V0070864","Building Two","Vivacity","VIVATESTTest","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","","demo_adminsuper@vivacitytech.com"
"V0070859","Building One","Vivacity","VIVATEST41Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","","demo_adminsuper@vivacitytech.com"
"V0070728","Repair Center 23","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Ryker Swenson",""
"V0070664","CCDream Test1","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","","demo_adminsuper@vivacitytech.com"
"V0070575","Alma's Elementary School","Vivacity","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Mark Baker"
"V0070572","Alma's Elementary School","Vivacity","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Mark Baker"
"V0070471","Greenville Warehouse","Vivacity","1100907Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","TestTag","Pending_Repair_Box","Ryker Swenson","demo_adminvivacity@vivacitytech.com"
"V0070439","GVL2","Vivacity","VIVATEST41Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Pending_Repair_Box","Ryker Swenson","demo_adminsuper@vivacitytech.com"
"V0070391","Building Three","Vivacity","VIVATEST67Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Ryker Swenson","demo_adminsuper@vivacitytech.com"
"V0070022","GVL","Vivacity","VIVATEST79Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Estimate_Approved","Akash","Maleja Duque"
"V0070011","GVL","Vivacity","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Akash","Maleja Duque"
"V0070004","Dream Building","Vivacity","VIVATEST74Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Ryker Swenson","demo_adminsuper@vivacitytech.com"
"V0068571","Remote Cloud Campus","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Pending_Repair_Box","Ryker Swenson","Conan Malady"
"V0067677","Nelson Cheese and Deli","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Intake","Ryker Swenson","Conan Malady"
"V0066632","Remote Cloud Campus","Vivacity","VIVATEST25Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0065964","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Intake_Queue","","Conan Malady"
"V0063971","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0063970","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Intake","","Conan Malady"
"V0062890","Remote Cloud Campus","Vivacity","P206XP41Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","673TY","Box_Created","","Conan Malady"
"V0062690","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0061329","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0060852","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0060788","Remote Cloud Campus","Vivacity","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0060495","Remote Cloud Campus","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0060426","GVL","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Maleja DB test","fx"
"V0060407","Remote Cloud Campus","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0060137","Remote Cloud Campus","Vivacity","VIVATEST34Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0059971","Remote Cloud Campus","Vivacity","VIVATEST90Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0059917","Remote Cloud Campus","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0059749","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0059731","Remote Cloud Campus","Vivacity","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0059715","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0059675","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0059357","Remote Cloud Campus","Vivacity","VIVATEST59Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0059123","Remote Cloud Campus","Vivacity","VIVATEST53Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0058465","Remote Cloud Campus","Vivacity","VIVATEST99Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0058242","Remote Cloud Campus","Vivacity","VIVATEST46Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0058206","GVL2","Vivacity","VIVATEST53Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Amadou Dioubate","madhuriravilla"
"V0057700","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0057660","GVL","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Noelle Kamau","demo_adminvivacity@vivacitytech.com"
"V0057410","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0057349","Remote Cloud Campus","Vivacity","VIVATEST53Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0057167","Remote Cloud Campus","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0057144","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0056904","Remote Cloud Campus","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0056877","Remote Cloud Campus","Vivacity","P206P12Test","Lenovo ThinkPad C14 Gen 1 Chromebook - Intel/8GB/256GB - Non-Touch","3","Box_Created","","Conan Malady"
"V0056737","Humphrey High","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Estimate_Approved","Tsion Abraham","demo_adminvivacity@vivacitytech.com"
"V0056727","GVL","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Amadou Dioubate","Maleja Duque"
"V0056700","Remote Cloud Campus","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0056677","Remote Cloud Campus","Vivacity","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0056663","GVL2","Vivacity","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Gadellnet Administrator","demo_adminvivacity@vivacitytech.com"
"V0056654","Sejong academy","Vivacity","VIVATEST20Test","VT Chromebook","","Box_Created","","Conan Malady"
"V0056653","Midway Elementary","Vivacity","12345620","VT Chromebook","12345620","Box_Created","","Conan Malady"
"V0056597","Humphrey High","Vivacity","VIVATEST55Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Closed","","Conan Malady"
"V0056596","GVL","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Karen Jaimes Perez","Jason Emricson"
"V0056221","GVL","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Closed","Ryker Swenson","Maleja Duque"
"V0056083","Remote Cloud Campus","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0056080","Greenville Warehouse","Vivacity","VIVATEST12Test","VT Chromebook","TestTag","Box_Created","Marcus Barnes","fx"
"V0056076","Remote Cloud Campus","Vivacity","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0055897","Remote Cloud Campus","Vivacity","VIVATEST61Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0055851","Dream Building","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Closed","","madhuriravilla"
"V0055757","GVL","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0055701","Remote Cloud Campus","Vivacity","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0055342","GVL","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Alejandra1243 Duque Test","Maleja Duque"
"V0055324","Remote Cloud Campus","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0054983","Remote Cloud Campus","Vivacity","VIVATEST72Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0054977","Remote Cloud Campus","Vivacity","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Closed","","Conan Malady"
"V0054975","Carlson Elementary","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Alejandra1243 Duque Test","Maleja Duque"
"V0054895","GVL","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","Ryker Swenson","Maleja Duque"
"V0054891","Carlson Elementary","Vivacity","VIVATEST138Test","VT Chromebook","y9E0|4(""4]","Box_Created","","demo_adminvivacity@vivacitytech.com"
"V0054858","GVL","Vivacity","VIVATEST57Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Alejandra1243 Duque Test","Maleja Duque"
"V0054829","Remote Cloud Campus","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0054798","Remote Cloud Campus","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
"V0054795","GVL","Vivacity","VIVATEST119Test","VT Chromebook","""0HOpc*q<x","Box_Created","","demo_adminschooldistrict@vivacitytech.com"
"V0054777","Building Two","Vivacity","P206XP41Test","Vivacity Tech Demo Chromebook - Intel/4GB/16GB - Non-Touch","673TY","Box_Created","Alejandra1243 Duque Test","demo_adminschooldistrict@vivacitytech.com"
"V0054758","Remote Cloud Campus","Vivacity","VIVATEST28Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0054757","GVL","Vivacity","VIVATEST50Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","Alejandra1243 Duque Test","Maleja Duque"
"V0054736","Building Three","Vivacity","VIVATEST86Test","VT Chromebook","Asset","Box_Created","Ryker Swenson","demo_adminschooldistrict@vivacitytech.com"
"V0054724","Dream Building","Vivacity","VIVATEST12Test","VT Chromebook","TestTag","Box_Created","","demo_adminsuper@vivacitytech.com"
"428812","","Vivacity","11879","Vivacity Tech Test Chromebook - Intel/4GB/16GB - Non-Touch/2in1/WFC/LTE","79","Shipping_to_Vivacity","","Dream"
"V0054192","JFK Junior High","Vivacity","VIVATEST66Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Nathan Birch"
"V0053458","GVL","Vivacity","VIVATEST20Test","VT Chromebook","","Complete","","Maleja Duque"
"V0053388","","Vivacity","VIVATEST58Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Estimate_Approved","","demo_adminsuper@vivacitytech.com"
"V0053385","GVL2","Vivacity","VIVATEST76Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","test10231","Estimate_Denied","","demo_adminsuper@vivacitytech.com"
"V0053379","Building Two","Vivacity","VIVATEST40Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Manidipa Das"
"V0053377","GVL","Vivacity","VIVATEST10Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Maleja Duque"
"V0052340","Remote Cloud Campus","Vivacity","VIVATEST97Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0052297","","Vivacity","VIVATEST51Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","","Box_Created","","Conan Malady"
"V0051750","Remote Cloud Campus","Vivacity","VIVATEST91Test","Dell Chromebook 11 3100 - Intel/4GB/32GB - Non-Touch","TestTag","Box_Created","","Conan Malady"
