"Details","Label From","Repair Box","Tracking Number From","Shipped From Date","Building","Box Type","Shipping Box Status","Created By","Last Modified Date"
"","","8445","1Z6X34470327848661","29-04-2024 21:23:43","GVL","Inbound","Not Shipped","Conan Malady","29-04-2024 21:26:02"
"","","8402","1Z6X34470334254333","26-04-2024 20:54:27","GVL","Inbound","Not Shipped","Conan Malady","26-04-2024 20:56:48"
"","","8368","1Z6X34470325077873","25-04-2024 21:26:46","GVL","Inbound","Not Shipped","Conan Malady","25-04-2024 21:29:02"
"","","8232","1Z6X34470301675440","23-04-2024 22:53:06","GVL","Inbound","Not Shipped","Conan Malady","23-04-2024 22:54:25"
"","","8209","1Z6X34470332248728","23-04-2024 21:05:37","GVL","Inbound","Not Shipped","Conan Malady","23-04-2024 21:07:04"
"","","8156","1Z6X34470331654139","23-04-2024 00:12:30","GVL","Inbound","Not Shipped","Conan Malady","23-04-2024 00:14:21"
"","","8048","1Z6X34470311077596","19-04-2024 00:06:00","GVL","Inbound","Not Shipped","Conan Malady","19-04-2024 00:06:00"
"","","8040","1Z6X34470337912947","18-04-2024 23:05:57","Johnson Middle School","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","18-04-2024 23:05:57"
"","","7949","1Z6X34470301107750","17-04-2024 22:04:54","GVL","Inbound","Not Shipped","Conan Malady","17-04-2024 22:11:43"
"","","7930","1Z6X34470328776479","17-04-2024 20:58:07","GVL","Inbound","Not Shipped","Conan Malady","17-04-2024 21:00:05"
"","","7884","1Z6X34470307473880","17-04-2024 01:35:23","GVL","Inbound","Not Shipped","Conan Malady","17-04-2024 01:37:36"
"","","7873","1Z6X34470309897008","17-04-2024 00:09:38","GVL","Inbound","Not Shipped","Conan Malady","17-04-2024 00:12:35"
"","","7829","1Z6X34470329357545","16-04-2024 21:48:09","GVL","Inbound","Not Shipped","Conan Malady","16-04-2024 21:49:42"
"","","7819","1Z6X34470325448114","16-04-2024 21:02:07","GVL","Inbound","Not Shipped","Conan Malady","16-04-2024 21:03:25"
"","","7793","1Z6X34470312055812","16-04-2024 01:23:31","GVL","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","16-04-2024 01:23:32"
"","","7789","1Z6X34470310170183","16-04-2024 01:07:58","GVL","Inbound","Not Shipped","Maleja Duque","16-04-2024 01:07:58"
"","","7784","1Z6X34470309864276","15-04-2024 23:46:42","GVL2","Inbound","Not Shipped","Conan Malady","15-04-2024 23:48:07"
"","","7766","1Z6X34470338890942","15-04-2024 21:17:55","GVL2","Inbound","Shipping From District","Conan Malady","15-04-2024 21:19:29"
"","","7761","1Z6X34470313284840","15-04-2024 20:38:35","Humphrey High","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","15-04-2024 20:38:36"
"","","7740","1Z6X34470312308852","15-04-2024 06:32:52","GVL","Inbound","Not Shipped","Jason Emricson","15-04-2024 06:32:52"
"","","7739","1Z6X34470305462645","15-04-2024 06:13:55","GVL2","Inbound","Not Shipped","Conan Malady","15-04-2024 06:13:55"
"","","7649","1Z6X34470330360270","12-04-2024 01:15:45","GVL","Inbound","Not Shipped","Maleja Duque","12-04-2024 01:15:45"
"","","7610","1Z6X34470337641463","11-04-2024 20:58:29","GVL","Inbound","Not Shipped","Conan Malady","11-04-2024 21:00:24"
"","","7602","1Z6X34470307770540","11-04-2024 20:18:05","GVL","Inbound","Not Shipped","Conan Malady","11-04-2024 20:19:32"
"","","7531","1Z6X34470328359385","10-04-2024 22:57:56","GVL","Inbound","Not Shipped","Conan Malady","10-04-2024 22:59:10"
"","","7499","1Z6X34470338184198","10-04-2024 21:20:07","Humphrey High","Inbound","Not Shipped","madhuriravilla","10-04-2024 21:20:08"
"","","7480","1Z6X34470316111780","10-04-2024 03:12:00","Midway High","Inbound","Not Shipped","Nathan Birch","10-04-2024 03:12:01"
"","","7478","1Z6X34470314308367","10-04-2024 02:46:41","GVL","Inbound","Not Shipped","Conan Malady","10-04-2024 02:46:41"
"","","7477","1Z6X34470301729954","10-04-2024 02:38:13","GVL2","Inbound","Not Shipped","Conan Malady","10-04-2024 02:38:13"
"","","7461","1Z6X34470314059547","09-04-2024 23:50:58","GVL","Inbound","Not Shipped","Conan Malady","09-04-2024 23:52:00"
"","","7386","1Z6X34470328823659","09-04-2024 03:17:46","GVL","Inbound","Not Shipped","Maleja Duque","09-04-2024 21:06:21"
"","","7375","1Z6X34470322640554","08-04-2024 23:58:46","GVL","Inbound","Not Shipped","Conan Malady","08-04-2024 23:59:52"
"","","7367","1Z6X34470323077457","08-04-2024 22:53:13","GVL","Inbound","Not Shipped","Conan Malady","08-04-2024 22:53:13"
"","","7226","1Z6X34470322954626","05-04-2024 02:08:04","GVL","Inbound","Not Shipped","Conan Malady","05-04-2024 02:21:19"
"","","7220","1Z6X34470334513919","05-04-2024 00:10:56","GVL","Inbound","Recieved By Vivacity","Conan Malady","05-04-2024 00:12:13"
"","","7218","1Z6X34470302426510","04-04-2024 23:49:32","Dream Building","Inbound","Not Shipped","Maleja Duque","04-04-2024 23:49:34"
"","","7156","1Z6X34470331992023","04-04-2024 01:32:52","Humphrey High","Inbound","Not Shipped","Maleja Duque","04-04-2024 01:32:54"
"","","7129","1Z6X34470310113146","03-04-2024 21:02:05","Proterworth","Inbound","Not Shipped","Maleja Duque","04-04-2024 00:17:09"
"","","7099","1Z6X34470330704676","03-04-2024 19:47:08","Carlson Elementary","Inbound","Not Shipped","demo_adminschooldistrict@vivacitytech.com","03-04-2024 19:48:05"
"","","7098","1Z6X34470334528065","03-04-2024 19:47:05","GVL","Inbound","Not Shipped","Conan Malady","03-04-2024 19:47:06"
"","","7083","1Z6X34470314801127","03-04-2024 11:35:53","Carlson Elementary","Inbound","Not Shipped","demo_adminschooldistrict@vivacitytech.com","03-04-2024 19:42:04"
"","","7080","1Z6X34470317527884","03-04-2024 02:04:39","Proterworth","Inbound","Not Shipped","demo_adminschooldistrict@vivacitytech.com","03-04-2024 02:04:39"
"","","7079","1Z6X34470303080463","03-04-2024 02:02:21","JFK Junior High","Inbound","Not Shipped","demo_adminschooldistrict@vivacitytech.com","03-04-2024 02:02:21"
"","","7078","1Z6X34470314240055","03-04-2024 01:51:04","GVL","Inbound","Not Shipped","Conan Malady","03-04-2024 18:42:07"
"","","7039","1Z6X34470304418490","02-04-2024 20:51:34","GVL","Inbound","Not Shipped","Conan Malady","02-04-2024 20:52:21"
"","","7036","1Z6X34470337988992","02-04-2024 20:40:10","GVL","Inbound","Not Shipped","Maleja Duque","02-04-2024 20:40:11"
"","","7013","1Z6X34470337948838","02-04-2024 04:17:35","GVL","Inbound","Not Shipped","Maleja Duque","02-04-2024 04:17:35"
"","","6703","1Z6X34470324672972","27-03-2024 17:56:39","Midway Middle","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","27-03-2024 17:56:40"
"","","6698","1Z6X34470310588125","27-03-2024 01:13:53","123 TestMalejawjqnejqe","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","27-03-2024 01:13:53"
"","","6697","1Z6X34470304622518","27-03-2024 01:10:00","Test to address","Inbound","Not Shipped","Maleja Duque","27-03-2024 01:10:01"
"","","6658","1Z6X34470300047068","25-03-2024 23:42:59","Sejong academy","Inbound","Not Shipped","Chase Roberts","25-03-2024 23:42:59"
"","","6355","1Z6X34470317999713","20-03-2024 21:44:47","GVL","Inbound","Not Shipped","Conan Malady","20-03-2024 21:44:48"
"","","6332","1Z6X34470300356895","20-03-2024 19:52:37","GVL","Inbound","Not Shipped","Conan Malady","20-03-2024 19:53:25"
"","","6127","1Z6X34470321352500","15-03-2024 20:51:06","GVL","Inbound","Not Shipped","Conan Malady","15-03-2024 20:52:24"
"","","6059","1Z6X34470309599885","14-03-2024 20:13:23","Sejong academy","Inbound","Not Shipped","Chase Roberts","14-03-2024 20:13:24"
"","","5984","1Z6X34470335322203","13-03-2024 19:47:55","GVL","Inbound","Not Shipped","Conan Malady","13-03-2024 19:48:57"
"","","5836","1Z6X34470323478461","11-03-2024 21:15:45","GVL","Inbound","Not Shipped","Conan Malady","11-03-2024 21:15:46"
"","","5823","1Z6X34470333525006","11-03-2024 19:47:53","GVL","Inbound","Not Shipped","Conan Malady","11-03-2024 19:47:54"
"","","5780","1Z6X34470312714109","08-03-2024 23:20:21","CCDream Test1","Inbound","Not Shipped","demo_repairtech@vivacitytech.com","08-03-2024 23:20:22"
"","","5725","1Z6X34470322688129","08-03-2024 02:06:48","GVL","Inbound","Not Shipped","Conan Malady","08-03-2024 02:06:49"
"","","5723","1Z6X34470325532513","08-03-2024 02:00:49","GVL","Inbound","Not Shipped","Conan Malady","08-03-2024 02:00:50"
"","","5663","1Z6X34470330899725","07-03-2024 21:56:58","Midway Middle","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","07-03-2024 21:56:59"
"","","5636","1Z6X34470317845923","07-03-2024 03:42:50","GVL","Inbound","Not Shipped","Conan Malady","07-03-2024 03:42:51"
"","","5613","1Z6X34470332376045","07-03-2024 00:47:02","GVL","Inbound","Not Shipped","Conan Malady","07-03-2024 00:47:03"
"","","5598","1Z6X34470300368864","06-03-2024 22:55:41","GVL","Inbound","Not Shipped","Conan Malady","06-03-2024 22:55:43"
"","","5538","1Z6X34470333150536","06-03-2024 00:58:31","GVL","Inbound","Not Shipped","Conan Malady","06-03-2024 00:58:32"
"","","5461","1Z6X34470316027667","05-03-2024 01:12:14","Saint Paul Warehouse","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","05-03-2024 01:12:15"
"","","5442","1Z6X34470310112512","05-03-2024 00:08:06","GVL","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","05-03-2024 00:08:07"
"","","5423","1Z6X34470311892366","04-03-2024 22:23:04","Building One","Inbound","Not Shipped","Jeff Metz","04-03-2024 22:23:05"
"","","5299","1Z6X34470323830749","01-03-2024 20:42:45","Remote Cloud Campus","Inbound","Not Shipped","Conan Malady","01-03-2024 20:42:46"
"","","5253","1Z6X34470337356478","29-02-2024 23:53:27","VT Greenville","Inbound","Shipping From District","","29-02-2024 23:53:27"
"","","5212","1Z6X34470335723468","29-02-2024 19:28:56","VT Greenville","Inbound","Not Shipped","Chase Roberts","29-02-2024 19:28:58"
"","","5152","1Z6X34470313863536","28-02-2024 22:51:49","Remote Cloud Campus","Inbound","Not Shipped","Conan Malady","28-02-2024 22:51:50"
"","","4962","1Z6X34470322643471","23-02-2024 22:50:55","GVL","Inbound","Not Shipped","Conan Malady","23-02-2024 22:50:56"
"","","4950","1Z6X34470309662823","23-02-2024 20:20:58","GVL","Inbound","Shipping From District","Chase Roberts","23-02-2024 20:20:59"
"","","4866","1Z6X34470335010068","22-02-2024 21:12:58","GVL","Inbound","Not Shipped","Chase Roberts","22-02-2024 21:12:59"
"","","4849","1Z6X34470323944911","22-02-2024 03:01:49","Building Two","Inbound","Not Shipped","demo_adminvivacity@vivacitytech.com","22-02-2024 03:01:50"
"","","4833","1Z6X34470336525304","22-02-2024 00:50:37","GVL","Inbound","Not Shipped","Conan Malady","22-02-2024 00:50:38"
"","","4749","1Z6X34470318709784","20-02-2024 21:48:19","GVL","Inbound","Not Shipped","Conan Malady","20-02-2024 21:48:20"
"","","4670","1Z6X34470336785846","19-02-2024 22:08:40","GVL","Inbound","Not Shipped","Conan Malady","19-02-2024 22:08:41"
"","","4642","1Z6X34470311620051","17-02-2024 03:32:24","Building One","Inbound","Not Shipped","Conan Malady","17-02-2024 03:32:25"
"","","4641","1Z6X34470339091778","17-02-2024 03:29:37","GVL","Inbound","Not Shipped","Conan Malady","17-02-2024 03:29:38"
